,0
diabetes_type,1.4297103023889701
npsi,0.728526999307132
duration_months,0.5865713594264766
sas,0.4467135354397936
hba1c_pct,0.39339777901959266
nis_ll,0.19222888364714988
sex,0.15468574559900972
ienfd_per_mm,-0.2583542865178494
snap_sural_nerve,-0.28464608122756463
age,-0.6500771888011898
