n_features,features,AUC,Accuracy,Rules
2,"ienfd_per_mm_high,age_high",0.6405228758169934,0.6,"|--- age_high <= 0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 0
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 1
|--- age_high >  0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 1
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 0
"
2,"npsi_high,nis_ll_high",0.6405228758169934,0.7714285714285715,"|--- npsi_high <= 0.50
|   |--- nis_ll_high <= 0.50
|   |   |--- class: 0
|   |--- nis_ll_high >  0.50
|   |   |--- class: 1
|--- npsi_high >  0.50
|   |--- class: 1
"
3,"nis_ll_high,age_high,duration_months_high",0.6143790849673202,0.7714285714285715,"|--- nis_ll_high <= 0.50
|   |--- duration_months_high <= 0.50
|   |   |--- class: 0
|   |--- duration_months_high >  0.50
|   |   |--- class: 0
|--- nis_ll_high >  0.50
|   |--- duration_months_high <= 0.50
|   |   |--- class: 1
|   |--- duration_months_high >  0.50
|   |   |--- class: 1
"
3,"npsi_high,nis_ll_high,duration_months_high",0.6143790849673202,0.7428571428571429,"|--- npsi_high <= 0.50
|   |--- nis_ll_high <= 0.50
|   |   |--- class: 0
|   |--- nis_ll_high >  0.50
|   |   |--- class: 1
|--- npsi_high >  0.50
|   |--- class: 1
"
2,"nis_ll_high,duration_months_high",0.6143790849673202,0.7714285714285715,"|--- nis_ll_high <= 0.50
|   |--- duration_months_high <= 0.50
|   |   |--- class: 0
|   |--- duration_months_high >  0.50
|   |   |--- class: 0
|--- nis_ll_high >  0.50
|   |--- duration_months_high <= 0.50
|   |   |--- class: 1
|   |--- duration_months_high >  0.50
|   |   |--- class: 1
"
2,"age_high,sex_high",0.6013071895424836,0.5714285714285714,"|--- sex_high <= 0.50
|   |--- age_high <= 0.50
|   |   |--- class: 0
|   |--- age_high >  0.50
|   |   |--- class: 0
|--- sex_high >  0.50
|   |--- age_high <= 0.50
|   |   |--- class: 0
|   |--- age_high >  0.50
|   |   |--- class: 1
"
2,"npsi_high,duration_months_high",0.5898692810457516,0.7714285714285715,"|--- npsi_high <= 0.50
|   |--- duration_months_high <= 0.50
|   |   |--- class: 0
|   |--- duration_months_high >  0.50
|   |   |--- class: 1
|--- npsi_high >  0.50
|   |--- class: 1
"
3,"npsi_high,age_high,duration_months_high",0.5898692810457516,0.7714285714285715,"|--- npsi_high <= 0.50
|   |--- duration_months_high <= 0.50
|   |   |--- class: 0
|   |--- duration_months_high >  0.50
|   |   |--- class: 1
|--- npsi_high >  0.50
|   |--- class: 1
"
1,nis_ll_high,0.588235294117647,0.7714285714285715,"|--- nis_ll_high <= 0.50
|   |--- class: 0
|--- nis_ll_high >  0.50
|   |--- class: 1
"
2,"nis_ll_high,age_high",0.588235294117647,0.7714285714285715,"|--- nis_ll_high <= 0.50
|   |--- age_high <= 0.50
|   |   |--- class: 0
|   |--- age_high >  0.50
|   |   |--- class: 0
|--- nis_ll_high >  0.50
|   |--- class: 1
"
