,coef
nis_ll,35.722978264864416
diabetes_type,24.25207456171796
duration_months,22.813103095711995
snap_sural_nerve,14.075233569163926
age,0.0
sex,-0.0
hba1c_pct,-0.0
sas,0.0
npsi,0.0
ienfd_per_mm,0.0
