target,median_threshold,auc_loocv,acc_loocv
nf155_mean_nm,281.4,0.8986928104575163,0.8571428571428571
nf186_mean_nm,281.4,0.8986928104575163,0.8571428571428571
caspr1_mean_nm,280.91,0.8594771241830065,0.8285714285714286
