,coef,abs_coef_rank
nis_ll,63.78927265694774,1.0
duration_months,44.41613040323891,2.0
diabetes_type,37.58540032474955,4.0
snap_sural_nerve,37.00631886842698,5.0
npsi,22.985909688136587,6.0
age,8.22670707224006,9.0
ienfd_per_mm,-7.088393344905599,10.0
hba1c_pct,-12.107643387337244,8.0
sex,-20.498556865701943,7.0
sas,-38.547323767748594,3.0
