,coef,abs_coef_rank
duration_months,60.24250650816969,1.0
npsi,48.30034902989433,2.0
nis_ll,32.75625523472209,3.0
diabetes_type,23.375947017679245,4.0
age,-3.1393575795624216,10.0
hba1c_pct,-4.185316724591655,9.0
sex,-8.269649603993035,8.0
ienfd_per_mm,-13.674163784946199,7.0
snap_sural_nerve,-15.219551452259307,6.0
sas,-18.69963243637804,5.0
